cluster,rho,theta,speed,start,direction
1.0,17.9200004,1.64802714,93.04161085332333,2023-10-05 10:14:45,right
2.0,2.7500000909090905,1.6517954454545454,88.69537311102125,2023-10-05 10:16:45,right
2.0,57.35000054545455,1.6530648,87.32080397517922,2023-10-05 10:19:45,right
2.0,8.55,1.6558811,84.41718457326827,2023-10-05 10:27:45,right
3.0,-0.20999999999999996,1.6521286700000002,88.33038409008145,2023-10-05 10:29:45,right
2.0,50.127778222222226,1.6533116055555555,87.05844098976506,2023-10-05 10:30:45,right
2.0,-2.3382353176470585,1.6494388,91.36476068183579,2023-10-05 10:33:45,right
4.0,59.35,1.663080625,77.7981648614379,2023-10-05 10:34:45,right
1.0,-8.827777897777777,1.6563174444444444,83.98438145887447,2023-10-05 10:37:45,right
2.0,51.0750005,1.6455182312499999,96.17788773866938,2023-10-05 10:39:45,right
